date,href,name
2003.11.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4670,SRM 173
2003.11.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4665,SRM 172
2003.11.17,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4664,CRPF Charity Finals
2003.11.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4660,SRM 171
2003.11.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4656,CRPF Charity Round 1
2003.11.08,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4655,SRM 170
2003.11.05,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4705,TCO '03 Round 4
2003.10.29,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4704,TCO '03 Round 3
2003.10.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4650,SRM 169
2013.09.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15702,SRM 590
2013.08.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15701,SRM 589
2013.08.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15700,SRM 588
2013.08.01,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15699,SRM 587
2013.07.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15698,SRM 586
2013.07.19,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15697,SRM 585
2013.07.10,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15696,SRM 584
2013.06.22,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15694,TCO13 Parallel Round 3B
2013.06.22,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15693,TCO13 Round 3B
2013.06.18,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15503,SRM 583
2009.07.08,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13898,SRM 444
2009.06.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13751,SRM 443
2009.06.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13750,SRM 442
2009.06.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13765,TCO09 Championship
2009.06.03,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13764,TCO09 Semifinal
2009.05.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13749,SRM 441
2009.05.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13748,SRM 440
2009.04.30,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13747,SRM 439
2009.04.19,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13803,SRM 438
2009.04.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13763,TCO09 Round 5
2009.03.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13762,TCO09 Round 4
2009.03.24,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13699,SRM 437
2009.03.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13761,TCO09 Round 3
2009.03.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13760,TCO09 Round 2
2009.03.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13698,SRM 436
2009.03.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13759,TCO09 Round 1
2009.03.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13758,TCO09 Qual 3
2009.02.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13757,TCO09 Qual 2
2009.02.24,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13742,TCO09 Qual 1
2009.02.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13697,SRM 435
